Cекс по телефону,Анилингус вам (мужчине),Анилингус мне (даме),Бандаж,Виртуальный секс,Госпожа,Золотой дождь вам (мужчине),Золотой дождь мне (даме),Игрушки,Игры,Клизма,Копро вам (мужчине),Куннилингус,Легкая доминация,Легкое подчинение,Лесби откровенное,Лесби-шоу легкое,Массаж классический,Массаж профессиональный,Массаж расслабляющий,Массаж урологический,Массаж эротический,Минет без резинки,Минет в машине,Минет в презервативе,Минет глубокий,Окончание в рот,Окончание на грудь,Окончание на лицо,Порка,Рабыня,Ролевые игры,Секс анальный,Секс групповой,Секс классический,Секс лесбийский,Страпон,Стриптиз не профи,Стриптиз профи,Трамплинг,Услуги семейной паре,Фетиш,Фингеринг,Фистинг анальный мне (даме),Фистинг анальный мужчине,Фистинг классический,Фото/видео съемка,Эскорт,Id
No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,Yes,No,No,No,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,296262
No,No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,Yes,No,No,Comment,No,Comment,No,No,No,Comment,Yes,No,No,Yes,Comment,Yes,No,No,Comment,Comment,Yes,No,No,No,No,No,No,Comment,Yes,No,No,No,No,Comment,300844
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,Comment,Comment,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,Comment,Comment,321224
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,Comment,Yes,No,Yes,No,Yes,No,No,Yes,Comment,No,No,No,No,No,Yes,Comment,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,322406
No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Comment,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,Yes,No,Yes,No,Yes,316572
No,No,No,No,No,No,No,No,No,Comment,No,No,Yes,No,Comment,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,Comment,Yes,No,No,No,Comment,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,324114
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,324048
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Comment,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,324917
No,No,Comment,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Comment,Comment,Comment,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,No,Comment,No,Yes,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,320079
No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,267520
No,No,No,No,No,No,No,No,Comment,Comment,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Comment,Yes,Comment,Yes,Yes,Yes,Comment,Yes,Yes,No,No,Comment,No,Comment,Yes,No,Comment,No,Yes,No,No,Comment,No,No,No,Comment,No,Yes,320341
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Comment,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,319284
No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Comment,Comment,No,Comment,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Comment,No,No,No,No,Yes,No,No,Comment,No,No,No,321461
No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Comment,Yes,Comment,Yes,No,No,Yes,Comment,Yes,Yes,No,Yes,No,No,Yes,294177
No,No,Yes,No,No,No,Comment,No,No,Comment,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Yes,Comment,No,No,Comment,Comment,No,Yes,No,Comment,Yes,No,Comment,No,Comment,No,No,Comment,No,No,No,322739
No,No,Yes,No,No,No,Comment,No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Comment,No,Comment,No,No,No,No,No,No,322285
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,321344
No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Comment,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Yes,Comment,Comment,Yes,Comment,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,319436
No,No,No,No,No,No,Comment,No,Comment,No,No,No,Comment,Yes,No,Comment,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,No,Comment,No,No,No,Yes,No,Comment,Yes,Comment,Comment,Yes,No,No,Comment,Yes,No,No,No,No,No,Comment,321682
No,No,No,No,No,No,No,No,Comment,No,No,No,Comment,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,319461
No,Yes,No,No,No,No,Comment,Comment,No,No,No,No,Yes,No,No,Comment,Comment,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Comment,No,Yes,Comment,No,No,No,No,No,No,No,No,Comment,No,No,Yes,293205
No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Comment,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,311591
No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Comment,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,323475
No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,No,No,Comment,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,Comment,Comment,No,No,No,Comment,No,No,No,No,Comment,No,Yes,305268
No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Comment,Yes,Yes,Yes,No,Yes,Comment,No,Yes,Yes,Comment,Yes,Yes,No,No,Yes,No,Comment,Yes,Comment,Comment,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Comment,Yes,317910
No,Comment,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Comment,Yes,Yes,No,No,Yes,Yes,No,No,No,Comment,Comment,Yes,No,Yes,No,No,Yes,Comment,Yes,No,No,No,Yes,No,No,272549
No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Comment,Yes,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Comment,Yes,Yes,No,Yes,No,Yes,Comment,Yes,No,No,No,Yes,No,Yes,323320
Yes,Comment,Yes,No,Yes,Yes,Comment,No,Yes,No,No,No,Yes,Yes,No,Comment,Comment,Yes,No,Yes,No,Yes,Yes,Comment,Yes,Yes,No,Yes,Comment,Comment,No,Yes,Comment,No,Yes,Comment,Comment,No,No,No,Comment,Comment,No,No,Comment,No,No,No,302885
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,319633
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,298842
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,280160
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Comment,No,Yes,Comment,No,Yes,No,No,Comment,Yes,No,No,No,No,No,Yes,324767
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,324774
No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Comment,Yes,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Comment,Yes,Yes,No,Yes,No,Yes,Comment,Yes,No,No,No,Yes,No,Yes,323315
No,Comment,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Comment,No,Yes,Comment,Comment,Comment,No,No,No,No,No,Comment,Yes,No,No,No,No,No,No,No,No,No,Comment,Comment,No,Yes,261818
No,No,No,No,No,No,No,No,No,Comment,No,No,Yes,Comment,Comment,No,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,No,Yes,No,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,Comment,No,Comment,No,No,No,No,No,Comment,319502
No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,No,No,Yes,No,No,No,No,Comment,Comment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,269068
No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Comment,No,Comment,Yes,322573
No,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,No,Comment,Comment,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,289730
No,Comment,Comment,No,No,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,Comment,No,Comment,No,Comment,Yes,No,Comment,No,No,No,Comment,Comment,No,No,Comment,No,No,Comment,304081
No,Comment,Yes,No,No,No,Yes,Comment,Comment,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Comment,No,No,No,321047
No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Comment,No,No,Comment,No,Yes,Yes,No,Comment,No,No,No,Yes,Comment,Comment,Yes,No,No,Yes,Yes,No,Comment,No,No,No,No,No,No,No,268237
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,242141
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,No,Yes,Comment,No,No,No,Comment,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Comment,301646
No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,Yes,No,Comment,Comment,Yes,No,Yes,No,No,Comment,No,Yes,No,No,Yes,No,No,No,No,No,Comment,Yes,Comment,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Comment,290748
No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,318182
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,318504
No,No,No,Comment,No,Comment,No,No,Yes,No,No,No,Yes,Comment,Comment,Comment,Comment,Yes,Comment,Yes,Comment,Yes,Comment,Yes,Yes,Yes,Comment,Yes,Comment,Comment,Comment,Comment,No,Comment,Yes,Comment,Comment,No,Comment,No,Comment,No,No,No,No,No,Comment,Yes,319813
No,No,No,No,No,Comment,No,No,Yes,Comment,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,Comment,No,No,Comment,No,Yes,No,Comment,No,No,No,No,Comment,No,No,No,No,No,No,248499
No,No,Yes,Yes,No,Yes,Comment,No,Yes,Yes,No,No,Comment,Yes,Yes,Comment,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,Yes,Yes,No,No,Comment,Yes,No,Comment,Yes,Comment,Yes,Yes,No,No,Comment,Yes,Yes,No,No,Yes,Comment,Comment,313713
No,Comment,No,Comment,No,Comment,Comment,No,Yes,Comment,No,No,Yes,Comment,No,No,Yes,Yes,No,No,Comment,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Comment,Comment,Yes,No,Comment,Yes,No,Comment,Comment,Comment,No,No,No,Comment,No,Yes,301091
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,No,Comment,Yes,Yes,No,No,No,Comment,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,323299
No,No,Yes,No,No,No,Yes,No,Comment,Comment,No,No,Comment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Comment,Yes,Yes,No,No,Yes,Comment,Comment,Yes,Comment,Yes,No,No,Yes,Comment,No,No,No,No,No,No,Comment,316524
Yes,Yes,Yes,No,Yes,No,Comment,No,Comment,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Comment,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Comment,No,Yes,No,Comment,No,No,No,No,No,Yes,No,No,Comment,No,No,313041
Yes,Comment,Yes,Comment,Yes,Comment,Comment,Comment,Comment,Yes,Comment,Comment,Comment,Yes,Yes,Comment,Comment,No,No,Yes,Yes,Yes,Comment,Comment,Yes,Yes,No,Comment,Comment,Comment,Comment,Yes,Comment,Comment,Yes,Comment,Yes,Yes,No,Yes,Comment,Yes,Yes,Comment,Comment,Comment,Comment,Yes,175392
No,Comment,Yes,No,No,No,Comment,Comment,No,No,No,No,Yes,No,No,No,Comment,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Comment,Comment,Comment,Comment,No,No,No,Comment,Comment,Yes,Comment,No,Comment,No,No,Comment,No,No,No,No,Comment,No,No,318946
No,No,Comment,No,No,Comment,No,No,Comment,No,No,No,Comment,Comment,No,No,No,Comment,Comment,Comment,Comment,Yes,No,No,Yes,Comment,No,Yes,No,Yes,No,Comment,Comment,No,Yes,No,Comment,No,No,Yes,No,Yes,No,No,No,No,No,Yes,228548
No,Yes,Yes,No,No,No,Yes,No,Comment,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,297776
No,Comment,No,Comment,No,Comment,Comment,No,Comment,Comment,No,Comment,Yes,Comment,No,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,No,Yes,Comment,Comment,Yes,Comment,Comment,Comment,Comment,Comment,Comment,Yes,Yes,Comment,Comment,No,Comment,Comment,Comment,No,No,No,Comment,Comment,Comment,288080
Comment,No,Yes,No,No,Comment,Comment,No,Comment,Comment,No,Comment,Yes,Comment,Comment,No,No,No,No,Yes,Comment,No,Comment,Comment,Yes,Yes,Comment,Comment,Comment,No,No,Comment,Comment,No,Yes,No,Comment,No,No,Comment,Yes,Comment,Yes,No,Comment,Comment,No,No,290902
No,No,No,No,No,Yes,No,No,Comment,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Comment,No,No,Yes,Yes,No,Comment,Yes,Comment,Comment,Yes,No,No,Comment,No,No,No,No,No,No,Yes,324716
No,No,Yes,No,No,No,Comment,No,Comment,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,No,No,No,No,Comment,Yes,No,Comment,Yes,No,No,No,Yes,No,No,No,Comment,No,No,313596
No,No,No,No,No,No,Comment,No,No,No,No,No,Comment,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,No,Comment,No,No,No,No,No,Comment,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,204332
No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Comment,Yes,No,No,Comment,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Comment,No,No,Yes,Yes,No,Comment,Yes,No,No,Comment,No,No,No,Yes,No,No,No,No,Yes,No,290607
No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,323760
No,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,No,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,No,319107
No,No,Yes,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Comment,No,Comment,No,Yes,No,No,Yes,No,No,No,Comment,Comment,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,321288
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,305787
No,No,No,No,No,Comment,Comment,No,Comment,Comment,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Comment,No,Yes,No,No,Comment,No,No,No,Comment,No,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,Comment,297853
No,Comment,Comment,No,No,No,Comment,Comment,Comment,No,No,No,Comment,Comment,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Comment,Comment,Comment,Comment,Comment,No,No,No,Comment,Comment,Yes,No,Comment,Comment,No,No,Comment,Comment,No,No,No,No,No,No,283938
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,321938
No,Comment,Yes,No,No,No,Comment,Comment,No,Comment,No,No,Yes,Yes,Yes,No,Yes,Comment,No,Yes,Comment,Yes,Comment,Yes,Yes,Comment,Comment,Yes,Yes,No,No,Yes,Comment,Comment,Yes,No,No,Yes,No,Yes,Comment,Yes,No,No,No,Yes,Comment,Yes,272927
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Yes,Comment,No,Comment,Comment,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Yes,Comment,Yes,No,Comment,No,Comment,Comment,No,Yes,Comment,Comment,Yes,No,Comment,No,Comment,No,No,No,No,No,Yes,299640
No,No,Comment,No,No,No,No,No,Comment,Comment,No,No,Yes,Comment,No,No,No,Comment,No,Comment,No,No,Comment,No,Yes,Comment,No,Comment,Comment,No,No,No,No,Comment,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,Comment,321547
No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,No,Comment,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,No,315627
No,No,Yes,No,No,No,Comment,No,Yes,Yes,Comment,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Comment,Yes,No,Yes,No,Yes,Yes,No,Comment,No,No,No,302918
No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,309381
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Comment,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,325001
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,319223
No,No,Yes,No,No,No,Comment,No,Yes,Comment,No,No,Yes,Comment,No,No,No,No,No,Yes,No,No,Comment,Comment,Yes,Yes,Comment,Yes,No,No,No,Comment,No,No,Yes,No,No,Comment,No,Comment,No,Comment,No,No,No,Yes,No,Comment,322252
No,No,No,No,No,No,Comment,No,No,No,No,No,Comment,Comment,No,No,Yes,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Comment,No,No,No,Comment,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,No,323258
No,No,No,No,No,No,No,No,Comment,No,No,No,Comment,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Comment,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,Comment,No,No,No,No,No,No,280299
No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Comment,Comment,Yes,Comment,Comment,Comment,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Comment,No,No,No,No,No,No,No,306077
No,No,No,No,No,Comment,Comment,No,Yes,Comment,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,No,Comment,Yes,Comment,No,No,Comment,Comment,Comment,Yes,No,Comment,Yes,No,Yes,Comment,Yes,No,No,No,Comment,No,Yes,277158
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,Comment,Comment,No,Comment,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Comment,Comment,Yes,Comment,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,No,297865
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,317323
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,Comment,No,No,Yes,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,315327
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,318333
No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Comment,Comment,Yes,Comment,Comment,Comment,Yes,Comment,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,207056
No,No,No,No,No,No,No,No,No,No,No,No,Comment,No,No,Comment,No,No,No,No,No,No,Comment,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Comment,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,Comment,No,319692
No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Comment,Yes,Yes,Yes,Comment,Comment,Yes,Yes,Yes,Yes,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Comment,Comment,321526
Comment,No,Comment,No,Comment,Comment,Comment,No,No,No,No,No,Comment,Comment,Comment,No,No,Comment,No,No,No,No,No,No,Yes,Comment,No,Comment,Comment,Yes,No,Comment,Comment,No,Yes,Comment,No,No,No,Comment,Comment,Yes,No,No,No,No,Comment,Comment,306635
No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Comment,Comment,Yes,Yes,Comment,Yes,Comment,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,282171
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,Yes,Comment,No,No,No,No,269810
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,308614
Comment,Yes,Yes,No,Comment,Comment,Comment,Comment,Yes,Yes,No,Comment,Yes,Comment,Comment,Comment,Comment,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Comment,Yes,No,Comment,Yes,Comment,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Comment,Comment,318771
No,No,Yes,No,No,Comment,Comment,No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,No,No,Comment,Comment,No,Yes,No,Comment,Yes,No,Yes,No,Yes,No,No,No,No,No,No,317518
No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,Yes,Yes,Yes,Comment,Yes,Comment,No,No,No,Comment,Comment,Yes,Comment,Yes,Yes,No,No,Comment,No,No,No,No,No,No,No,324658
