Апартаменты-1 час,Апартаменты-2 часа,Апартаменты-Ночь,Выезд-1 час,Выезд-2 часа,Выезд-Ночь,Id,Комментарий к ценам
3 000 р.,7 000 р.,-,10 000 р.,-,,319284,Контактов в час: до 2.
5 000 р.,-,-,10 000 р.,-,,321461,-
,,,20 000 р.,50 000 р.,,294177,"Контактов в час: до 2.+Оплата такси, ночь шесть часов!"
2 500 р.,5 000 р.,15 000 р.,-,7 000 р.,16 000 р.,322739,
3 000 р.,-,-,-,8 000 р.,16 000 р.,322285,
2 000 р.,4 000 р.,10 000 р.,,,,321344,Контактов в час: до 2.
,,,10 000 р.,20 000 р.,50 000 р.,319436,Контактов в час: до 2.
7 000 р.,14 000 р.,28 000 р.,-,14 000 р.,28 000 р.,321682,
,,,6 000 р.,7 000 р.,15 000 р.,319461,Контактов в час: неограничено.
10 000 р.,20 000 р.,55 000 р.,20 000 р.,55 000 р.,,293205,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,,,,311591,
3 000 р.,6 000 р.,18 000 р.,-,8 000 р.,20 000 р.,323475,
3 000 р.,6 000 р.,15 000 р.,10 000 р.,30 000 р.,,305268,-
,,,-,10 000 р.,18 000 р.,317910,
2 500 р.,4 000 р.,12 000 р.,5 000 р.,-,,272549,Контактов в час: до 2.С выездом + компенсация такси и 50%-й предоплатой.
10 000 р.,20 000 р.,40 000 р.,-,20 000 р.,40 000 р.,323320,Контактов в час: неограничено.
2 500 р.,5 000 р.,-,7 000 р.,20 000 р.,,302885,Контактов в час: до 2.Экспресс 1500р
2 000 р.,4 000 р.,12 000 р.,,,,319633,Контактов в час: неограничено.
,,,3 500 р.,5 000 р.,8 000 р.,298842,
3 000 р.,6 000 р.,18 000 р.,-,7 000 р.,20 000 р.,280160,"Контактов в час: неограничено.При выезде, такси оплачивается дополнительно."
10 000 р.,20 000 р.,40 000 р.,-,20 000 р.,40 000 р.,324767,
2 500 р.,5 000 р.,12 000 р.,-,8 000 р.,-,324774,
10 000 р.,20 000 р.,40 000 р.,-,20 000 р.,40 000 р.,323315,Контактов в час: неограничено.
,,,5 000 р.,8 000 р.,20 000 р.,261818,Контактов в час: до 2.
3 500 р.,7 000 р.,15 000 р.,-,10 000 р.,20 000 р.,319502,
2 000 р.,4 000 р.,10 000 р.,,,,269068,
4 000 р.,6 500 р.,10 000 р.,3 500 р.,6 000 р.,9 000 р.,322573,Контактов в час: до 2.Классика+МБР. В авто действует получасовая программа(мбр+класс. )-2000р. цена на ночь с учетом сна. Возможен анилингус и фистинг за доплату
1 500 р.,3 000 р.,6 000 р.,,,,289730,
3 500 р.,7 000 р.,-,,,,304081,Контактов в час: до 2.
4 000 р.,8 000 р.,25 000 р.,-,10 000 р.,25 000 р.,321047,Контактов в час: до 2.
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,268237,
,,,-,8 000 р.,20 000 р.,242141,
5 000 р.,10 000 р.,20 000 р.,12 000 р.,25 000 р.,,301646,-
15 000 р.,30 000 р.,-,30 000 р.,-,,290748,Контактов в час: до 2.
5 000 р.,10 000 р.,-,-,10 000 р.,20 000 р.,318182,
,,,3 000 р.,4 500 р.,7 500 р.,318504,
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,25 000 р.,319813,Контактов в час: до 2.
3 000 р.,6 000 р.,-,,,,248499,
6 000 р.,12 000 р.,50 000 р.,15 000 р.,-,,313713,Контактов в час: до 2.
,,,7 000 р.,12 000 р.,25 000 р.,301091,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,,,,323299,Контактов в час: до 2.
10 000 р.,18 000 р.,50 000 р.,-,20 000 р.,60 000 р.,316524,Контактов в час: до 2.
3 000 р.,6 000 р.,20 000 р.,15 000 р.,20 000 р.,30 000 р.,313041,"Контактов в час: неограничено.Если вы хотите что то большее, думаю можно обсудить. Секс без презерватива не возможен. Я берегу свое здоровье и для себя и для вас)) выезд только по предоплате 5000 на телефон или карту. При всём уважении Но господа потратившие мое время на ожидание и продинамившие, попадут по мне только оплатив неустойку. И на нужно думать что Москва большая, найду другую. Практика показывает, что земля круглая и вы рано или поздно приедите ко мне. Поэтому уважайте и меня и себя и Не динамьте. Могу предложить вам провести прекрасный вечер, не обращая внимания на цену допуслуг и не всматриваясь в циферблат) такие гости всегда а приоритете. Стоимость такого вечера 25000) А вечера переходящего в завтрак -60000 ) я очень интересная собеседница) развратна, но не распущенна) таким гостям позволено курить в моей квартире, мы можем выпить вина под жаркий шёпот поцелуев) и проче прочее)"
3 000 р.,6 000 р.,18 000 р.,5 000 р.,10 000 р.,35 000 р.,175392,10000 всё включено. Есть программа Мама и дочка))
,,,-,9 000 р.,20 000 р.,318946,Контактов в час: неограничено.
10 000 р.,15 000 р.,50 000 р.,-,15 000 р.,50 000 р.,228548,Контактов в час: неограничено.
2 400 р.,5 500 р.,11 000 р.,,,,297776,Контактов в час: до 2.
5 000 р.,10 000 р.,-,10 000 р.,10 000 р.,-,288080,Контактов в час: неограничено.
5 000 р.,10 000 р.,30 000 р.,-,15 000 р.,-,290902,Контактов в час: до 2.ВСТРЕЧА ВОЗМОЖНА С 9. 00 ДО 20. 00 ДРУГОЕ ВРЕМЯ И ВЫХОДНЫЕ ТОЛЬКО ПО ПРЕДВАРИТЕЛЬНОЙ ДОГОВОРЕННОСТИ.
8 000 р.,16 000 р.,40 000 р.,8 000 р.,16 000 р.,40 000 р.,324716,Контактов в час: неограничено.
2 500 р.,5 000 р.,15 000 р.,8 000 р.,20 000 р.,,313596,Контактов в час: неограничено.
2 500 р.,5 000 р.,13 000 р.,,,,204332,
3 000 р.,6 000 р.,12 000 р.,,,,290607,
3 000 р.,6 000 р.,12 000 р.,,,,323760,Контактов в час: неограничено.
5 000 р.,10 000 р.,20 000 р.,,,,319107,
8 000 р.,16 000 р.,60 000 р.,21 000 р.,60 000 р.,,321288,Контактов в час: до 2.
1 500 р.,3 000 р.,8 000 р.,,,,305787,
3 000 р.,5 500 р.,-,8 000 р.,-,,297853,Контактов в час: до 2.
6 000 р.,12 000 р.,30 000 р.,,,,283938,
2 300 р.,4 600 р.,-,,,,321938,
5 000 р.,10 000 р.,50 000 р.,10 000 р.,50 000 р.,,272927,Контактов в час: до 2.
12 000 р.,24 000 р.,60 000 р.,-,26 000 р.,62 000 р.,299640,Контактов в час: неограничено.
4 000 р.,8 000 р.,25 000 р.,15 000 р.,35 000 р.,,321547,Контактов в час: до 2.
3 000 р.,-,-,,,,315627,Контактов в час: до 2.
5 000 р.,9 000 р.,-,6 000 р.,10 000 р.,-,302918,Контактов в час: неограничено.
7 000 р.,14 000 р.,-,,,,309381,Контактов в час: до 2.Экспресса нет!
1 500 р.,3 000 р.,10 000 р.,,,,325001,Контактов в час: до 2.
3 500 р.,-,-,,,,319223,
3 000 р.,-,-,,,,322252,
2 000 р.,4 000 р.,12 000 р.,,,,323258,
4 000 р.,-,-,,,,280299,
5 000 р.,8 000 р.,-,10 000 р.,-,,306077,После 22-00 час 6 тр
3 000 р.,6 000 р.,18 000 р.,-,7 000 р.,20 000 р.,277158,Контактов в час: неограничено.
,,,3 500 р.,5 000 р.,8 000 р.,297865,
2 000 р.,4 000 р.,-,,,,317323,
3 000 р.,-,-,,,,315327,Контактов в час: до 2.
2 500 р.,5 000 р.,15 000 р.,7 000 р.,18 000 р.,,318333,-
5 000 р.,10 000 р.,30 000 р.,6 000 р.,12 000 р.,35 000 р.,207056,Контактов в час: неограничено.Экспресс- 3500
13 000 р.,-,-,20 000 р.,60 000 р.,,319692,Контактов в час: неограничено.В городе ненадолго.
15 000 р.,30 000 р.,60 000 р.,20 000 р.,30 000 р.,60 000 р.,321526,Контактов в час: неограничено.
6 000 р.,12 000 р.,30 000 р.,-,15 000 р.,35 000 р.,306635,Контактов в час: до 2.
5 000 р.,12 000 р.,-,15 000 р.,20 000 р.,-,282171,Контактов в час: неограничено.
3 000 р.,6 000 р.,14 000 р.,,,,269810,Контактов в час: до 2.
,,,7 000 р.,10 000 р.,-,308614,"Контактов в час: до 2.Выезд в дальнее Подмосковье и далёкие от меня районы Москвы + $€£₽ на такси по предоплате! По САО, СВАО, СЗАО доплаты за такси нет! Но выборочно могу попросить внести предоплату. Выезд на час возможен ТОЛЬКО ПО ХИМКАМ и САО !!!"
7 000 р.,14 000 р.,-,20 000 р.,-,,318771,"Контактов в час: до 2.Мальчики хочу секса! Акция 7000 все включено. Выебите меня уже... МБР окончание в рот, на лицо, на тело, массаж и конечно же куннилингус!"
2 000 р.,4 000 р.,10 000 р.,,,,317518,
2 000 р.,4 000 р.,12 000 р.,2 000 р.,4 000 р.,12 000 р.,324658,
2 500 р.,5 000 р.,15 000 р.,,,,245388,Контактов в час: неограничено.Возможен экспресс на 3-х
3 500 р.,7 000 р.,-,,,,324685,Контактов в час: неограничено.
2 500 р.,5 000 р.,14 000 р.,5 000 р.,8 000 р.,18 000 р.,323132,Контактов в час: до 2.
1 500 р.,3 000 р.,6 000 р.,,,,284146,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,8 000 р.,318160,Контактов в час: неограничено.
3 000 р.,6 000 р.,11 000 р.,-,6 500 р.,12 000 р.,84009,"Выезд на 2 часа, оплата такси в одну сторону, если на ночь тогда такси в обе стороны."
5 000 р.,8 000 р.,25 000 р.,7 000 р.,10 000 р.,25 000 р.,317566,Контактов в час: до 2.Выезд возможен к постоянным клиентам от 2 часов
,,,3 000 р.,4 500 р.,8 000 р.,322929,
5 000 р.,-,-,,,,312187,"Контактов в час: неограничено.Полтора часа с МБР, анулсингус, окончание в рот -8000"
2 000 р.,4 000 р.,-,7 000 р.,14 000 р.,,245992,Контактов в час: неограничено.Выезд на час только по Королеву.
2 000 р.,4 000 р.,10 000 р.,,,,301281,Контактов в час: до 2.
5 000 р.,10 000 р.,19 000 р.,-,10 000 р.,20 000 р.,315952,Контактов в час: неограничено.3-й час бесплатно!
4 000 р.,8 000 р.,18 000 р.,,,,96025,Контактов в час: неограничено.
2 000 р.,4 000 р.,12 000 р.,,,,324883,Контактов в час: до 2.
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,261583,
,,,4 000 р.,7 000 р.,15 000 р.,323058,Контактов в час: неограничено.все включено
3 000 р.,6 000 р.,15 000 р.,,,,255716,Контактов в час: до 2.
4 000 р.,8 000 р.,20 000 р.,-,15 000 р.,25 000 р.,78059,
3 000 р.,-,-,,,,295260,Контактов в час: до 2.
10 000 р.,15 000 р.,-,-,-,,311573,Контактов в час: неограничено.
3 000 р.,6 000 р.,15 000 р.,,,,310616,Контактов в час: до 2.
1 500 р.,3 000 р.,8 000 р.,,,,319094,Контактов в час: неограничено.
6 000 р.,12 000 р.,30 000 р.,,,,318508,
2 300 р.,4 600 р.,-,,,,303770,
2 300 р.,4 600 р.,-,,,,310180,
14 000 р.,20 000 р.,45 000 р.,20 000 р.,45 000 р.,,274804,Контактов в час: неограничено.
,,,-,7 000 р.,15 000 р.,284317,
6 000 р.,12 000 р.,30 000 р.,12 000 р.,30 000 р.,,317991,Контактов в час: неограничено.
,,,4 000 р.,6 000 р.,15 000 р.,294132,
1 900 р.,-,10 000 р.,,,,307402,
3 000 р.,6 000 р.,20 000 р.,6 000 р.,12 000 р.,25 000 р.,270547,Контактов в час: до 2.
7 000 р.,14 000 р.,28 000 р.,-,14 000 р.,28 000 р.,321391,
3 500 р.,7 000 р.,20 000 р.,,,,299969,Контактов в час: до 2.
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,10 000 р.,287571,Контактов в час: неограничено.
,,,-,8 000 р.,-,256468,
,,,3 500 р.,4 000 р.,8 000 р.,260937,
2 500 р.,5 000 р.,-,,,,323900,Контактов в час: до 2.
3 000 р.,5 000 р.,15 000 р.,-,6 000 р.,18 000 р.,190776,
7 000 р.,14 000 р.,30 000 р.,-,16 000 р.,33 000 р.,321273,Контактов в час: неограничено.
15 000 р.,30 000 р.,-,,,,180657,"Контактов в час: до 2.МБР-включён ГОРЛОВОЙ-обязательно!)) ПОЦЕЛУИ?))-очень лю лю))) ОКОНЧАНИЕ В РОТ, НА ЛИЦО, НА ГРУДЬ-включено АНУЛИНГУС-включён СКВИРТ-включён ЗОЛОТОЙ ДОЖДИК-включён СТРАПОН-включён КУНИ-кончаю))) АНАЛЬНЫЙ ФИСТИНГ-включён(в вашу сторону с любовью)))обожаю! ФУТ-ДЖОБ, РАБЫНЯ, ПОРКА, ГОСПОЖА, ФЕЙСИТИНГ, ТРАМЛИНГ, БОЛЛБАСТИНГ, СТРИПТИЗ, ФЕТИШ, МАССАЖ спортивный, эротический ВКЛЮЧЕНО!))) НА СВЯЗИ с 12. 00 до 23. 00 Котятки мои)))если Вам было со мной волшебно... ))мрррр.. ставьте пожалуйста оценочки)))ням ням )))"
4 000 р.,9 000 р.,-,,,,300184,Контактов в час: до 2.
2 500 р.,5 000 р.,15 000 р.,,,,323870,Контактов в час: 0 (интима нет).
3 500 р.,-,-,-,-,-,296802,Контактов в час: до 2.
,,,4 000 р.,7 000 р.,14 000 р.,303140,На час выезжаю не далеко или с оплатой такси!
3 000 р.,6 000 р.,16 000 р.,6 000 р.,8 000 р.,18 000 р.,320942,Контактов в час: до 2.
3 000 р.,6 000 р.,12 000 р.,4 000 р.,7 000 р.,14 000 р.,320147,Контактов в час: до 2.Экспресс программа 2000=30 мин.
5 000 р.,10 000 р.,15 000 р.,-,15 000 р.,25 000 р.,211054,Контактов в час: неограничено.некоторые нюансы обсуждаемы в зависимости от личности) С моей стороны нет проблем)а с твоей... )))?
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,16 000 р.,323910,Контактов в час: до 2.
,,,-,8 000 р.,18 000 р.,319164,Контактов в час: неограничено.
15 000 р.,20 000 р.,-,15 000 р.,20 000 р.,-,325043,Контактов в час: неограничено.
2 500 р.,4 000 р.,10 000 р.,,,,320150,"Контактов в час: до 2.любишь сладкий секс, приезжай ко мне в гости."
4 000 р.,7 000 р.,15 000 р.,5 000 р.,8 000 р.,16 000 р.,280280,
3 500 р.,-,-,-,15 000 р.,-,311330,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,273661,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,,,,324910,Контактов в час: неограничено.
5 000 р.,9 000 р.,25 000 р.,5 000 р.,9 000 р.,25 000 р.,315551,Контактов в час: неограничено.Апартаменты м Щелковская 5 минут от метро
4 000 р.,8 000 р.,-,,,,323842,
2 000 р.,4 000 р.,-,,,,324854,
2 000 р.,5 000 р.,10 000 р.,7 000 р.,15 000 р.,,305971,-
5 000 р.,10 000 р.,25 000 р.,12 000 р.,27 000 р.,,324884,Контактов в час: неограничено.Экспрессик-3500
10 000 р.,20 000 р.,50 000 р.,20 000 р.,50 000 р.,,322014,Контактов в час: неограничено.Выезд во все районы и Подмосковье + такси!!! Выезд на часик только в ближайшие районы.
5 000 р.,10 000 р.,-,15 000 р.,-,,310260,Контактов в час: до 2.После 23 часов час = 10000 р
4 000 р.,8 000 р.,-,-,10 000 р.,-,306988,
5 000 р.,10 000 р.,30 000 р.,-,12 000 р.,30 000 р.,324498,Контактов в час: до 2.
5 000 р.,10 000 р.,20 000 р.,5 000 р.,10 000 р.,20 000 р.,324033,Контактов в час: неограничено.
6 000 р.,12 000 р.,-,-,15 000 р.,-,307462,
3 500 р.,7 000 р.,15 000 р.,-,10 000 р.,20 000 р.,312507,
,,,6 000 р.,10 000 р.,25 000 р.,323605,Контактов в час: неограничено.
5 000 р.,10 000 р.,30 000 р.,6 000 р.,12 000 р.,40 000 р.,308459,Контактов в час: до 2.Выезд только к клиетам посетившим меня более 2 раз!!!
2 000 р.,4 000 р.,10 000 р.,-,10 000 р.,20 000 р.,306400,"Контактов в час: неограничено.Если у Вас есть страстное желание любить и погружаться в экстаз, то мы обязательно все обсудим и обязательно с Вами договоримся! *=)"
2 000 р.,4 000 р.,12 000 р.,,,,323368,
3 000 р.,6 000 р.,15 000 р.,4 000 р.,8 000 р.,15 000 р.,316753,Контактов в час: до 2.
6 000 р.,12 000 р.,-,,,,275922,Контактов в час: до 2.Начиная с одиннадцати вечера час восемь тыс. р.
2 500 р.,5 000 р.,12 000 р.,,,,320070,Контактов в час: неограничено.Анал входит в стоимость часика)
4 000 р.,7 000 р.,18 000 р.,5 000 р.,9 000 р.,20 000 р.,320781,Контактов в час: до 2.
8 000 р.,15 000 р.,45 000 р.,-,20 000 р.,50 000 р.,320026,"For connoisseurs of natural forms and volumes! Its breast is 3 sizes. I have no relation to the salons. In the apartment only you and me. No girlfriends running around the apartment and strange sounds. Very gently and carefully I will help to relax and forget about the problems. I'm never in a bad mood. I only meet when I want it myself. I love Cooney and men with temperament !!! My photo is 200%! I do not answer SMS! ONLY CALLS !! Please call in advance for an hour and a half before the proposed meeting ! ✌️If you do not know how to contact me and have a language conflict find a friend, let him contact me instead of you!)"
,,,3 000 р.,6 000 р.,12 000 р.,321983,Такси оплачивается Вами отдельно. При встречах от 3х часов кунилингус входит в стоимость(при вашем желании) Ночь_6 часов!!! В машине встреч НЕТ!!!!?
,,,5 000 р.,8 000 р.,16 000 р.,316012,Контактов в час: неограничено.Дополнительные услуги обговариваю по телефону
4 000 р.,8 000 р.,-,8 000 р.,8 000 р.,-,284126,
30 000 р.,50 000 р.,-,-,60 000 р.,-,321730,Контактов в час: до 2.Анал+МБР+аналингус+ кончить в ротик+ откровенно вылизываем свои дырочки+ фистинг! Все включено!
,,,10 000 р.,20 000 р.,45 000 р.,300277,
2 300 р.,4 600 р.,-,,,,322931,
3 000 р.,6 000 р.,18 000 р.,,,,324425,Контактов в час: неограничено.
2 000 р.,4 000 р.,17 000 р.,6 000 р.,10 000 р.,-,322195,
2 000 р.,-,-,-,5 000 р.,-,298876,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,,,,324001,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,12 000 р.,323017,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,,,,324226,Звоните ( все обсудим ;*
2 500 р.,5 000 р.,12 000 р.,,,,264314,Контактов в час: неограничено.Есть ЭКСПРЕСС ПРОГРАММА - 2000 РУБ. Есть откровенное ЛЕСБИ-ШОУ!!!
,,,4 000 р.,7 000 р.,15 000 р.,315414,Контактов в час: до 2.Все включено
2 000 р.,4 000 р.,-,,,,308696,Контактов в час: неограничено.
5 000 р.,8 000 р.,20 000 р.,-,8 000 р.,20 000 р.,308625,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,,,,304761,
4 000 р.,8 000 р.,20 000 р.,,,,314068,Контактов в час: до 2.
,,,-,10 000 р.,20 000 р.,268078,
3 000 р.,5 000 р.,12 000 р.,3 000 р.,5 000 р.,12 000 р.,320309,Контактов в час: до 2.При выезде оплата такси с Вас) Полчаса -2000
,,,3 500 р.,5 000 р.,8 000 р.,302285,
,,,3 500 р.,5 000 р.,8 000 р.,324797,Контактов в час: неограничено.
6 000 р.,12 000 р.,-,-,15 000 р.,-,316179,
6 000 р.,10 000 р.,-,,,,323891,
4 000 р.,8 000 р.,20 000 р.,-,15 000 р.,25 000 р.,72288,
2 500 р.,4 500 р.,10 000 р.,-,-,-,304086,
3 000 р.,6 000 р.,13 000 р.,4 000 р.,8 000 р.,14 000 р.,317109,Контактов в час: неограничено.
7 000 р.,14 000 р.,30 000 р.,14 000 р.,30 000 р.,,324538,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,269611,
5 000 р.,10 000 р.,-,,,,318509,Контактов в час: до 2.
2 500 р.,4 000 р.,-,5 000 р.,-,,316500,Экспресс-1 контакт 30 мин -1500 р
8 000 р.,10 000 р.,30 000 р.,8 000 р.,10 000 р.,30 000 р.,277701,Контактов в час: 1.НОЧЬ - 6 часов. + такси.
2 500 р.,5 000 р.,-,4 000 р.,6 000 р.,-,324942,
5 000 р.,10 000 р.,25 000 р.,-,11 000 р.,26 000 р.,317778,Контактов в час: неограничено.
5 000 р.,10 000 р.,30 000 р.,15 000 р.,20 000 р.,40 000 р.,114524,Контактов в час: неограничено.
30 000 р.,60 000 р.,100 000 р.,-,60 000 р.,100 000 р.,299901,"Контактов в час: неограничено.Ночь, выезд и выходные по договорённости. Выезд по всей России."
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,15 000 р.,312916,Контактов в час: до 2.
,,,6 000 р.,8 000 р.,15 000 р.,319459,Контактов в час: неограничено.
3 000 р.,6 000 р.,20 000 р.,-,-,-,287601,"Контактов в час: до 2.Есть экспресс-программа, 2000 Выезд от 2 часов плюс такси!)"
10 000 р.,20 000 р.,80 000 р.,15 000 р.,20 000 р.,80 000 р.,258839,Контактов в час: неограничено.
7 000 р.,14 000 р.,28 000 р.,-,14 000 р.,28 000 р.,323237,
6 000 р.,12 000 р.,30 000 р.,,,,321929,
5 000 р.,10 000 р.,25 000 р.,-,10 000 р.,25 000 р.,324470,Контактов в час: неограничено.Такси оплачиваете Вы!
3 000 р.,5 000 р.,18 000 р.,7 000 р.,7 000 р.,18 000 р.,324983,Контактов в час: до 2.
3 000 р.,6 000 р.,-,,,,317882,
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,25 000 р.,312258,Контактов в час: до 2.
,,,10 000 р.,15 000 р.,40 000 р.,316606,
5 000 р.,10 000 р.,30 000 р.,-,15 000 р.,35 000 р.,324409,Контактов в час: до 2.
5 000 р.,10 000 р.,25 000 р.,-,15 000 р.,30 000 р.,319311,
3 000 р.,6 000 р.,15 000 р.,-,6 000 р.,18 000 р.,316987,Контактов в час: до 2.
10 000 р.,-,50 000 р.,-,20 000 р.,50 000 р.,250458,Контактов в час: до 2.ПЬЯНЫХ НЕ ПРИНИМАЮ!
,,,3 500 р.,5 000 р.,8 000 р.,320755,
3 000 р.,6 000 р.,15 000 р.,,,,307619,Контактов в час: до 2.
2 000 р.,4 000 р.,1 000 р.,,,,299712,Контактов в час: до 2.
2 500 р.,5 000 р.,14 000 р.,,,,318995,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,-,10 000 р.,25 000 р.,324740,Контактов в час: до 2.
,,,4 000 р.,7 000 р.,15 000 р.,322176,Контактов в час: неограничено.
2 500 р.,5 000 р.,-,,,,323676,
17 000 р.,27 000 р.,70 000 р.,-,35 000 р.,80 000 р.,206717,Контактов в час: до 2.1 час - 12 т. р. 1 час с мбр - 17 т. р. Люблю щедрых мужчин)))Сохраняйте мой номер!)
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,263449,
10 000 р.,20 000 р.,60 000 р.,20 000 р.,20 000 р.,60 000 р.,324506,Контактов в час: до 2.Минет без презерватива включён в стоимость Есть парковка
4 000 р.,7 000 р.,20 000 р.,,,,315346,"Контактов в час: до 2.Есть отличное предложение экспресс программки, по лучшей цене. Подробности по телефону"
2 000 р.,4 000 р.,10 000 р.,,,,324989,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,-,5 000 р.,12 000 р.,320646,
,,,8 000 р.,30 000 р.,,284920,Контактов в час: до 2.
7 000 р.,12 000 р.,50 000 р.,7 000 р.,12 000 р.,50 000 р.,159620,"Контактов в час: неограничено.Всё включено, допов нет."
,,,-,10 000 р.,-,321115,Контактов в час: неограничено.Выезд в Москву и Подмосковье. Если выезд в Подмосковье то возьму предоплату на такси.
5 000 р.,10 000 р.,-,,,,322753,Контактов в час: до 2.
5 000 р.,10 000 р.,25 000 р.,6 000 р.,12 000 р.,30 000 р.,323012,"Контактов в час: до 2.В анальном сексе могу отказать, так как часто не практикую - все зависит от размера и от самого партнера"
5 000 р.,10 000 р.,20 000 р.,6 000 р.,10 000 р.,20 000 р.,322209,Контактов в час: неограничено.
10 000 р.,20 000 р.,60 000 р.,15 000 р.,30 000 р.,70 000 р.,214453,Контактов в час: неограничено.
,,,3 500 р.,5 000 р.,8 000 р.,325096,Контактов в час: неограничено.
10 000 р.,20 000 р.,55 000 р.,25 000 р.,60 000 р.,,323287,-
12 000 р.,12 000 р.,30 000 р.,12 000 р.,30 000 р.,,321149,12 000 р.
3 000 р.,6 000 р.,10 000 р.,-,7 000 р.,12 000 р.,321653,
4 000 р.,8 000 р.,20 000 р.,,,,313087,Контактов в час: до 2.
1 500 р.,3 000 р.,7 000 р.,,,,319319,
,,,3 000 р.,4 000 р.,7 500 р.,257684,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,,,,317611,
6 000 р.,12 000 р.,30 000 р.,6 000 р.,12 000 р.,30 000 р.,320342,Контактов в час: неограничено.Экспресс 3. 000
6 000 р.,12 000 р.,30 000 р.,12 000 р.,30 000 р.,,311204,Контактов в час: неограничено.
4 000 р.,8 000 р.,32 000 р.,,,,302028,
2 500 р.,5 000 р.,15 000 р.,,,,322448,Контактов в час: до 2.
4 000 р.,8 000 р.,-,-,10 000 р.,-,317186,Контактов в час: неограничено.
10 000 р.,20 000 р.,-,25 000 р.,25 000 р.,-,293940,Контактов в час: неограничено.
3 000 р.,6 000 р.,15 000 р.,-,-,-,316772,Контактов в час: неограничено.
10 000 р.,15 000 р.,50 000 р.,15 000 р.,20 000 р.,50 000 р.,293953,"Контактов в час: неограничено.В праздники тоже приглашу в гости или приеду к тебе)) Полетаем, сладкий? Жду) твоя Мила."
2 000 р.,-,-,,,,315249,"Контактов в час: 1.Если сразу Вам не ответила, перезвоните позже или напишите смс о встрече."
3 000 р.,5 000 р.,15 000 р.,,,,300290,Контактов в час: до 2.
16 000 р.,32 000 р.,-,32 000 р.,32 000 р.,-,323726,
,,,-,8 000 р.,15 000 р.,303845,Контактов в час: неограничено.За МКАД - при оплате транспортных
5 000 р.,10 000 р.,20 000 р.,10 000 р.,20 000 р.,,310004,Контактов в час: неограничено.
,,,-,8 000 р.,18 000 р.,322511,
,,,4 000 р.,7 000 р.,11 000 р.,313816,Контактов в час: неограничено.Экспресс в машине 2500
8 000 р.,16 000 р.,35 000 р.,20 000 р.,40 000 р.,,324940,"Дорогие мои, приеду в гости от 2-х часиков + оплата такси!"
4 000 р.,8 000 р.,25 000 р.,5 000 р.,9 000 р.,25 000 р.,321537,Контактов в час: до 2.
,,,5 000 р.,8 000 р.,16 000 р.,308265,Контактов в час: неограничено.
10 000 р.,20 000 р.,-,-,20 000 р.,-,324075,
,,,3 500 р.,6 000 р.,9 000 р.,300849,
6 000 р.,12 000 р.,30 000 р.,-,12 000 р.,30 000 р.,324137,
3 000 р.,6 000 р.,16 000 р.,-,8 000 р.,16 000 р.,317774,Контактов в час: до 2.
1 500 р.,3 000 р.,10 000 р.,,,,314304,
10 000 р.,20 000 р.,-,25 000 р.,25 000 р.,-,301490,Контактов в час: неограничено.
,,,3 500 р.,5 000 р.,8 000 р.,309530,Услуги такси оплачиваются отдельно
2 500 р.,5 000 р.,15 000 р.,,,,301434,
,,,7 000 р.,10 000 р.,-,282155,"Контактов в час: до 2.Выезд в дальнее Подмосковье и далёкие от меня районы Москвы + $€£₽ на такси по предоплате! По САО, СВАО, СЗАО доплаты за такси нет! Выезд на час ТОЛЬКО ПО САО И ХИМКАМ!!!"
,,,-,8 000 р.,16 000 р.,313271,
2 300 р.,4 600 р.,-,,,,324012,
5 000 р.,10 000 р.,-,-,15 000 р.,-,270375,"Контактов в час: 1.Дорогие мои, приеду в гости от 2-х часиков + оплата такси!"
20 000 р.,40 000 р.,100 000 р.,40 000 р.,100 000 р.,,267814,20 000 р.
1 500 р.,3 000 р.,10 000 р.,,,,319354,Контактов в час: до 2.
,,,6 000 р.,8 000 р.,18 000 р.,323755,
2 500 р.,4 000 р.,12 000 р.,2 500 р.,4 000 р.,12 000 р.,316916,Контактов в час: неограничено.
2 500 р.,5 000 р.,-,2 500 р.,5 000 р.,12 000 р.,318165,Контактов в час: неограничено.
